"count","state"
3,
2017128,"PA"
10671346,"FL"
1754405,"AZ"
186957,"MT"
1158217,"LA"
701284,"NM"
184711,"AK"
3124625,"NC"
1175899,"OR"
180574,"VT"
448018,"MS"
602497,"AR"
5002734,"IL"
1610593,"MO"
1158948,"IN"
357433,"HI"
88513,"WY"
462662,"UT"
2079096,"MI"
990716,"KS"
2153046,"MD"
3431477,"GA"
1032688,"MN"
323822,"DC"
712662,"WI"
360303,"NE"
3655957,"OH"
1285441,"CT"
1438912,"NV"
1151686,"OK"
14986,"NA"
781281,"AL"
7968687,"CA"
2031412,"CO"
95683,"ND"
180448,"DE"
384387,"WV"
701054,"KY"
1999004,"WA"
445435,"ME"
394695,"RI"
3241449,"VA"
1578751,"TN"
132442,"SD"
634588,"NH"
644363,"IA"
715289,"SC"
5786887,"NY"
3167834,"MA"
7624741,"TX"
1573536,"NJ"
416091,"ID"
